ID,Nama,Kecamatan,Nomor WA,Username,Password,Role
1,nadine,Ajung,6247889276899,admin,admin,admin
2,sefia maharani,Puger,6243562639297,user,user,Customer
3,khalyana,Arjasa,62576151382881,customer,customer,Customer
4,andhika,Sukowono,6282142639910,user1,user1,Customer
5,ahmad,Tanggul,6288927165749,user2,user2,Customer
6,maya,Ledokombo,6289849936529,user3,user3,Customer
7,khalyanaa,Wuluhan,626483745,khalya,khalya,Customer
8,nadine,Sumbersari,6235475869465,nadine,nadine,Customer
9,nadin alfina,Silo,62345375683,nad,nad,Customer
10,moly,Puger,6289881378164,user4,user4,Customer
